num_ligne;Année;Code académie;Nom académie;Discipline;IPS moyen;Caractéristique;Score moyen;Ecart type;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6
899;2023;31;MARTINIQUE;Mathématiques;111.4;Fille;224.1;43.6;30.5;24.7;20.1;12.3;7.1;5.4
906;2023;32;GUADELOUPE;Mathématiques;104.9;Garçon;234.4;45.1;24.0;21.5;20.3;16.1;9.8;8.3
910;2023;33;GUYANE;Mathématiques;92.8;Ensemble;206.2;43.7;51.1;21.9;14.0;5.7;3.6;3.7
921;2023;70;NORMANDIE;Français;113.8;Garçon;261.5;41.2;5.5;12.7;23.0;24.5;17.8;16.5
929;2023;;NATIONAL;Mathématiques;116.0;Fille;252.9;49.7;13.2;17.5;20.6;18.7;13.4;16.5
941;2024;02;AIX-MARSEILLE;Mathématiques;115.4;Fille;248.0;49.7;15.7;19.2;20.9;17.4;12.5;14.2
949;2024;04;BORDEAUX;Français;120.0;Ensemble;274.6;43.1;2.5;8.4;18.9;24.0;20.7;25.6
950;2024;04;BORDEAUX;Français;120.0;Fille;279.0;43.2;1.7;6.8;17.6;23.9;21.3;28.7
953;2024;04;BORDEAUX;Mathématiques;120.0;Fille;261.2;48.0;8.3;14.9;20.9;20.6;15.9;19.4
959;2024;06;CLERMONT-FERRAND;Mathématiques;116.7;Fille;262.8;48.0;7.2;15.5;20.9;20.0;16.3;20.2
962;2024;07;DIJON;Français;114.4;Fille;271.7;42.0;2.7;8.9;20.4;25.2;19.7;23.0
963;2024;07;DIJON;Français;114.4;Garçon;263.4;41.0;4.9;12.2;22.5;24.0;18.4;18.0
965;2024;07;DIJON;Mathématiques;114.4;Fille;253.9;46.6;10.5;17.4;21.9;20.4;14.3;15.5
975;2024;09;LILLE;Français;111.9;Garçon;257.9;42.2;6.6;15.0;23.7;23.1;16.2;15.4
976;2024;09;LILLE;Mathématiques;111.9;Ensemble;257.0;50.2;11.2;16.6;20.6;18.6;14.4;18.7
979;2024;10;LYON;Français;119.6;Ensemble;270.1;46.1;4.9;10.6;19.1;22.3;19.0;24.2
986;2024;11;MONTPELLIER;Français;114.5;Fille;271.8;43.5;2.9;9.4;20.7;23.5;19.7;23.8
990;2024;11;MONTPELLIER;Mathématiques;114.5;Garçon;267.1;50.8;7.6;12.4;18.9;20.3;16.4;24.4
998;2024;13;POITIERS;Français;117.2;Fille;272.4;41.7;2.4;8.5;20.3;25.2;20.4;23.3
999;2024;13;POITIERS;Français;117.2;Garçon;264.9;42.1;4.4;12.0;22.1;24.4;17.8;19.2
1000;2024;13;POITIERS;Mathématiques;117.2;Ensemble;261.0;48.4;8.6;14.9;20.7;20.6;15.9;19.4
1007;2024;14;RENNES;Mathématiques;121.8;Fille;264.2;46.2;6.1;13.4;21.1;22.4;16.7;20.4
1008;2024;14;RENNES;Mathématiques;121.8;Garçon;280.9;48.6;3.4;7.8;15.9;20.4;20.6;31.9
1009;2024;15;STRASBOURG;Français;114.0;Ensemble;269.8;43.4;3.8;10.0;20.0;24.2;19.4;22.6
1013;2024;15;STRASBOURG;Mathématiques;114.0;Fille;259.3;49.5;10.0;15.0;20.5;20.3;15.1;19.1
1018;2024;16;TOULOUSE;Mathématiques;121.9;Ensemble;272.3;52.2;6.4;11.8;17.4;19.6;17.1;27.7
1020;2024;16;TOULOUSE;Mathématiques;121.9;Garçon;281.6;52.5;4.4;8.8;14.9;19.5;18.5;33.9
1021;2024;17;NANTES;Français;121.5;Ensemble;273.9;41.0;2.2;8.0;19.1;25.0;21.3;24.4
1022;2024;17;NANTES;Français;121.5;Fille;277.7;41.3;1.6;6.5;18.0;25.0;21.9;27.0
1026;2024;17;NANTES;Mathématiques;121.5;Garçon;282.0;49.2;3.6;7.6;15.1;20.5;19.9;33.3
1035;2024;19;REIMS;Français;110.6;Garçon;261.0;41.1;5.0;13.3;24.7;23.3;17.5;16.2
1053;2024;23;NICE;Français;115.3;Garçon;263.1;43.4;5.5;12.9;21.3;23.9;17.6;18.8
1061;2024;24;CRETEIL;Mathématiques;109.2;Fille;239.0;48.8;21.4;21.5;20.0;15.5;10.5;11.1
1063;2024;25;VERSAILLES;Français;124.2;Ensemble;268.8;48.2;5.9;11.7;19.3;21.3;17.7;24.2
1064;2024;25;VERSAILLES;Français;124.2;Fille;273.9;47.8;4.3;10.1;18.3;21.4;18.9;27.0
1065;2024;25;VERSAILLES;Français;124.2;Garçon;263.3;48.2;7.6;13.4;20.4;21.2;16.4;21.1
1067;2024;25;VERSAILLES;Mathématiques;124.2;Fille;256.0;54.9;14.4;16.6;18.6;17.0;13.1;20.3
